Referencia;CODCB;TECFORMA;SILKPAL;COSTURA;TAMANHO;FISICO;DESCRI;CORES;CODPRO;TRANSITO;SALDO;POSICAO;CODBARRA
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;8 S  ;2;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42067;0;2;6;789056751430
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;8½ S ;4;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42069;0;4;7;789056751431
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;9 S  ;5;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42071;0;5;8;789056751432
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;9½ S ;3;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42073;0;3;9;789056751433
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;10 S ;6;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42041;0;6;10;789563066247
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;10½S ;6;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42043;0;6;11;789563066248
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;11 S ;4;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42045;0;4;12;789563004626
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;11½S ;1;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42047;0;1;13;789563004627
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;12 S ;12;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42049;0;12;14;789563004628
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;12½S ;11;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42050;0;11;15;789563004629
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;13 S ;7;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42051;0;7;17;789563001015
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;13½S ;7;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42052;0;7;18;789563001016
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;1 L  ;18;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42039;0;18;19;789563001017
E-BA-11   ;B.PINK  ;M    ;.    ;.    ;1½ L ;24;SAPATILHA MEIA PONTA COURO COM LYCRA®;B.PINK  ;42053;0;24;20;789563001018
