Referencia;CODCB;TECFORMA;SILKPAL;COSTURA;TAMANHO;FISICO;DESCRI;CORES;CODPRO;TRANSITO;SALDO;POSICAO;CODBARRA
11942     ;01      ;CT   ;.    ;.    ;MA   ;1;COLLANT LIBERTS = D-150/D-250;PR      ;220170;0;1;3;789966900505
B-454JS   ;20296   ;JS/RF;.    ;.    ;P    ;1;BLUSA MANGA 7/8 AD.;PR      /PR      ;213811;0;1;40;789776156893
B-454JS   ;20296   ;JS/RF;.    ;.    ;S    ;1;BLUSA MANGA 7/8 AD.;PR      /PR      ;213812;0;1;45;789776156675
D-151ME   ;01      ;ME   ;.    ;.    ;12-14;1;COLLANT REGATA - INF.;PR      ;192535;0;1;150;789563084750
D-151ME   ;07      ;ME   ;.    ;.    ;4-6  ;4;COLLANT REGATA - INF.;VO      ;192750;0;4;120;789769920021
D-151ME   ;07      ;ME   ;.    ;.    ;6X-7 ;1;COLLANT REGATA - INF.;VO      ;192751;0;1;130;789769920022
D-151ME   ;07      ;ME   ;.    ;.    ;Y-JR ;4;COLLANT REGATA - INF.;VO      ;192753;0;4;160;789769920024
D-152ME   ;08      ;ME   ;.    ;.    ;4-6  ;2;COLLANT COM ALCA DE VIES - INF.;VH      ;192773;0;2;120;789769920044
D-152ME   ;08      ;ME   ;.    ;.    ;12-14;2;COLLANT COM ALCA DE VIES - INF.;VH      ;192771;0;2;150;789769920042
D-154SU   ;01      ;SU   ;.    ;.    ;2-4  ;2;COLLANT COM DUAS ALCAS DE VIES - INF.;PR      ;192691;0;2;110;789563084930
D-154SU   ;01      ;SU   ;.    ;.    ;4-6  ;4;COLLANT COM DUAS ALCAS DE VIES - INF.;PR      ;192692;0;4;120;789563084931
D-154SU   ;01      ;SU   ;.    ;.    ;6X-7 ;6;COLLANT COM DUAS ALCAS DE VIES - INF.;PR      ;192548;0;6;130;789563084768
D-154SU   ;08      ;SU   ;.    ;.    ;4-6  ;3;COLLANT COM DUAS ALCAS DE VIES - INF.;VH      ;192807;0;3;120;789769920078
D-154SU   ;08      ;SU   ;.    ;.    ;6X-7 ;2;COLLANT COM DUAS ALCAS DE VIES - INF.;VH      ;192808;0;2;130;789769920079
D-154SU   ;08      ;SU   ;.    ;.    ;Y-JR ;3;COLLANT COM DUAS ALCAS DE VIES - INF.;VH      ;192810;0;3;160;789769920081
D-154SU   ;84      ;SU   ;.    ;.    ;4-6  ;4;COLLANT COM DUAS ALCAS DE VIES - INF.;BE      ;192813;0;4;120;789769920084
D-156ME   ;01      ;ME   ;.    ;.    ;4-6  ;4;COLLANT MANGA CURTA INF.;PR      ;193900;0;4;120;789769921148
D-156ME   ;01      ;ME   ;.    ;.    ;6X-7 ;9;COLLANT MANGA CURTA INF.;PR      ;193901;0;9;130;789769921149
D-156ME   ;01      ;ME   ;.    ;.    ;8-10 ;11;COLLANT MANGA CURTA INF.;PR      ;193902;0;11;140;789769921150
D-156ME   ;01      ;ME   ;.    ;.    ;12-14;10;COLLANT MANGA CURTA INF.;PR      ;193903;0;10;150;789769921151
D-156ME   ;01      ;ME   ;.    ;.    ;Y-JR ;8;COLLANT MANGA CURTA INF.;PR      ;193904;0;8;160;789769921152
D-156ME   ;03      ;ME   ;.    ;.    ;2-4  ;4;COLLANT MANGA CURTA INF.;RSC     ;193905;0;4;110;789769921153
D-156ME   ;03      ;ME   ;.    ;.    ;4-6  ;4;COLLANT MANGA CURTA INF.;RSC     ;193906;0;4;120;789769921154
D-156ME   ;03      ;ME   ;.    ;.    ;6X-7 ;2;COLLANT MANGA CURTA INF.;RSC     ;193907;0;2;130;789769921155
D-156ME   ;03      ;ME   ;.    ;.    ;8-10 ;4;COLLANT MANGA CURTA INF.;RSC     ;193908;0;4;140;789769921156
D-156ME   ;03      ;ME   ;.    ;.    ;12-14;2;COLLANT MANGA CURTA INF.;RSC     ;193909;0;2;150;789769921157
D-156ME   ;03      ;ME   ;.    ;.    ;Y-JR ;2;COLLANT MANGA CURTA INF.;RSC     ;193910;0;2;160;789769921158
D-156ME   ;08      ;ME   ;.    ;.    ;6X-7 ;2;COLLANT MANGA CURTA INF.;VH      ;193913;0;2;130;789769921161
D-156ME   ;08      ;ME   ;.    ;.    ;12-14;1;COLLANT MANGA CURTA INF.;VH      ;193915;0;1;150;789769921163
D-156ME   ;11      ;ME   ;.    ;.    ;2-4  ;2;COLLANT MANGA CURTA INF.;AZBB    ;196890;0;2;110;789769924116
D-156ME   ;11      ;ME   ;.    ;.    ;4-6  ;4;COLLANT MANGA CURTA INF.;AZBB    ;196891;0;4;120;789769924117
D-156ME   ;11      ;ME   ;.    ;.    ;6X-7 ;4;COLLANT MANGA CURTA INF.;AZBB    ;196892;0;4;130;789769924118
D-156ME   ;11      ;ME   ;.    ;.    ;8-10 ;5;COLLANT MANGA CURTA INF.;AZBB    ;196893;0;5;140;789769924119
D-156ME   ;11      ;ME   ;.    ;.    ;12-14;4;COLLANT MANGA CURTA INF.;AZBB    ;196894;0;4;150;789769924120
D-156ME   ;11      ;ME   ;.    ;.    ;Y-JR ;2;COLLANT MANGA CURTA INF.;AZBB    ;196895;0;2;160;789769924121
D-157ME   ;01      ;ME   ;.    ;.    ;12-14;1;SHORTS INF.;PR      ;193926;0;1;150;789769921174
D-157ME   ;01      ;ME   ;.    ;.    ;Y-JR ;3;SHORTS INF.;PR      ;193927;0;3;160;789769921175
D-157ME   ;03      ;ME   ;.    ;.    ;4-6  ;9;SHORTS INF.;RSC     ;193928;0;9;120;789769921176
D-157ME   ;03      ;ME   ;.    ;.    ;6X-7 ;9;SHORTS INF.;RSC     ;193929;0;9;130;789769921177
D-157ME   ;03      ;ME   ;.    ;.    ;8-10 ;8;SHORTS INF.;RSC     ;193930;0;8;140;789769921178
D-157ME   ;03      ;ME   ;.    ;.    ;12-14;1;SHORTS INF.;RSC     ;193931;0;1;150;789769921179
D-157ME   ;08      ;ME   ;.    ;.    ;4-6  ;4;SHORTS INF.;VH      ;193938;0;4;120;789769921186
D-157ME   ;08      ;ME   ;.    ;.    ;6X-7 ;14;SHORTS INF.;VH      ;193939;0;14;130;789769921187
D-157ME   ;08      ;ME   ;.    ;.    ;8-10 ;13;SHORTS INF.;VH      ;193940;0;13;140;789769921188
D-157ME   ;08      ;ME   ;.    ;.    ;12-14;5;SHORTS INF.;VH      ;193941;0;5;150;789769921189
D-157ME   ;08      ;ME   ;.    ;.    ;Y-JR ;4;SHORTS INF.;VH      ;193942;0;4;160;789769921190
D-157ME   ;11      ;ME   ;.    ;.    ;4-6  ;10;SHORTS INF.;AZBB    ;193943;0;10;120;789769921191
D-157ME   ;11      ;ME   ;.    ;.    ;6X-7 ;8;SHORTS INF.;AZBB    ;193944;0;8;130;789769921192
D-157ME   ;11      ;ME   ;.    ;.    ;8-10 ;20;SHORTS INF.;AZBB    ;193945;0;20;140;789769921193
D-157ME   ;11      ;ME   ;.    ;.    ;12-14;15;SHORTS INF.;AZBB    ;193946;0;15;150;789769921194
D-157ME   ;11      ;ME   ;.    ;.    ;Y-JR ;15;SHORTS INF.;AZBB    ;193947;0;15;160;789769921195
D-157ME   ;16      ;ME   ;.    ;.    ;4-6  ;2;SHORTS INF.;MH      ;201316;0;2;120;789769922107
D-157ME   ;16      ;ME   ;.    ;.    ;6X-7 ;3;SHORTS INF.;MH      ;201317;0;3;130;789769922108
D-157ME   ;16      ;ME   ;.    ;.    ;12-14;1;SHORTS INF.;MH      ;201319;0;1;150;789769922110
D-157ME   ;17      ;ME   ;.    ;.    ;12-14;1;SHORTS INF.;LA      ;196906;0;1;150;789769924132
