Referencia;CODCB;TECFORMA;SILKPAL;COSTURA;TAMANHO;FISICO;DESCRI;CORES;CODPRO;TRANSITO;SALDO;POSICAO;CODBARRA
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;11½S ;2;SAPATO PARA JAZZ EM COURO;PRETO   ;52993;0;2;13;789056707115
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;12 S ;4;SAPATO PARA JAZZ EM COURO;PRETO   ;52995;0;4;14;789056707125
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;12½S ;4;SAPATO PARA JAZZ EM COURO;PRETO   ;52997;0;4;15;789056748094
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;13 S ;5;SAPATO PARA JAZZ EM COURO;PRETO   ;52999;0;5;17;789056748095
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;13½S ;3;SAPATO PARA JAZZ EM COURO;PRETO   ;53001;0;3;18;789056748096
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;3 L  ;7;SAPATO PARA JAZZ EM COURO;PRETO   ;53004;0;7;24;789056738448
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;3½ L ;4;SAPATO PARA JAZZ EM COURO;PRETO   ;53005;0;4;25;789056713667
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;4 L  ;5;SAPATO PARA JAZZ EM COURO;PRETO   ;53006;0;5;27;789056738169
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;4½ L ;4;SAPATO PARA JAZZ EM COURO;PRETO   ;53007;0;4;28;789056738449
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;5 L  ;8;SAPATO PARA JAZZ EM COURO;PRETO   ;53008;0;8;29;789056738217
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;5½ L ;8;SAPATO PARA JAZZ EM COURO;PRETO   ;53009;0;8;31;789056739248
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;6 L  ;21;SAPATO PARA JAZZ EM COURO;PRETO   ;53010;0;21;32;789056739249
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;6½ L ;11;SAPATO PARA JAZZ EM COURO;PRETO   ;53011;0;11;33;789056738450
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;7 L  ;43;SAPATO PARA JAZZ EM COURO;PRETO   ;53012;0;43;34;789056738451
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;7½ L ;16;SAPATO PARA JAZZ EM COURO;PRETO   ;53013;0;16;35;789056738452
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;8 L  ;46;SAPATO PARA JAZZ EM COURO;PRETO   ;53014;0;46;36;789056738453
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;8½ L ;16;SAPATO PARA JAZZ EM COURO;PRETO   ;53015;0;16;37;789056738454
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;9 L  ;38;SAPATO PARA JAZZ EM COURO;PRETO   ;53016;0;38;38;789056738455
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;9½ L ;19;SAPATO PARA JAZZ EM COURO;PRETO   ;53018;0;19;39;789056738456
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;10 L ;38;SAPATO PARA JAZZ EM COURO;PRETO   ;52986;0;38;40;789056738447
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;10½L ;16;SAPATO PARA JAZZ EM COURO;PRETO   ;52988;0;16;41;789056700858
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;11 L ;3;SAPATO PARA JAZZ EM COURO;PRETO   ;52990;0;3;42;789056704759
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;11½L ;7;SAPATO PARA JAZZ EM COURO;PRETO   ;52992;0;7;43;789056736761
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;12 L ;11;SAPATO PARA JAZZ EM COURO;PRETO   ;52994;0;11;44;789056736762
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;12½L ;18;SAPATO PARA JAZZ EM COURO;PRETO   ;52996;0;18;45;789056746273
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;13 L ;21;SAPATO PARA JAZZ EM COURO;PRETO   ;52998;0;21;46;789056724190
E-JZ-05   ;PRETO   ;M    ;.    ;.    ;13½L ;8;SAPATO PARA JAZZ EM COURO;PRETO   ;53000;0;8;47;789056724191
E-JZ-10   ;PRETO   ;M    ;.    ;.    ;9 S  ;3;SAPATO PARA JAZZ EM COURO COM SOLA E SALTO DE BOR;PRETO   ;53513;0;3;8;789056713881
E-JZ-10   ;PRETO   ;M    ;.    ;.    ;9½ S ;5;SAPATO PARA JAZZ EM COURO COM SOLA E SALTO DE BOR;PRETO   ;53515;0;5;9;789056713882
E-JZ-10   ;PRETO   ;M    ;.    ;.    ;11 S ;3;SAPATO PARA JAZZ EM COURO COM SOLA E SALTO DE BOR;PRETO   ;53486;0;3;12;789563001655
E-JZ-10   ;PRETO   ;M    ;.    ;.    ;11½S ;2;SAPATO PARA JAZZ EM COURO COM SOLA E SALTO DE BOR;PRETO   ;53488;0;2;13;789563001656
E-JZ-10   ;PRETO   ;M    ;.    ;.    ;13½S ;3;SAPATO PARA JAZZ EM COURO COM SOLA E SALTO DE BOR;PRETO   ;53496;0;3;18;789563001665
E-JZ-10   ;PRETO   ;M    ;.    ;.    ;3 L  ;4;SAPATO PARA JAZZ EM COURO COM SOLA E SALTO DE BOR;PRETO   ;53500;0;4;24;789563000600
E-JZ-10   ;PRETO   ;M    ;.    ;.    ;3½ L ;2;SAPATO PARA JAZZ EM COURO COM SOLA E SALTO DE BOR;PRETO   ;53501;0;2;25;789563001666
E-JZ-10   ;PRETO   ;M    ;.    ;.    ;4 L  ;5;SAPATO PARA JAZZ EM COURO COM SOLA E SALTO DE BOR;PRETO   ;53502;0;5;27;789563000601
E-JZ-10   ;PRETO   ;M    ;.    ;.    ;4½ L ;4;SAPATO PARA JAZZ EM COURO COM SOLA E SALTO DE BOR;PRETO   ;53503;0;4;28;789563000602
E-JZ-10   ;PRETO   ;M    ;.    ;.    ;5 L  ;7;SAPATO PARA JAZZ EM COURO COM SOLA E SALTO DE BOR;PRETO   ;53504;0;7;29;789563001667
