Referencia;CODCB;TECFORMA;SILKPAL;COSTURA;TAMANHO;FISICO;DESCRI;CORES;CODPRO;TRANSITO;SALDO;POSICAO;CODBARRA
E-SD11    ;BEGE CK ;B    ;.    ;.    ;9½ S ;1;SAPATILHA MEIA-PONTA;BEGE CK ;134803;0;1;9;789056779400
E-SD11    ;BEGE CK ;B    ;.    ;.    ;10 S ;3;SAPATILHA MEIA-PONTA;BEGE CK ;134796;0;3;10;789056779392
E-SD11    ;BEGE CK ;B    ;.    ;.    ;10½S ;1;SAPATILHA MEIA-PONTA;BEGE CK ;134797;0;1;11;789056779393
E-SD11    ;BEGE CK ;B    ;.    ;.    ;11 S ;3;SAPATILHA MEIA-PONTA;BEGE CK ;134798;0;3;12;789056779394
E-SD11    ;BEGE CK ;B    ;.    ;.    ;12½S ;2;SAPATILHA MEIA-PONTA;BEGE CK ;49639;0;2;15;789056773085
E-SD11    ;BEGE CK ;B    ;.    ;.    ;13 S ;1;SAPATILHA MEIA-PONTA;BEGE CK ;49640;0;1;17;789056763786
E-SD11    ;BEGE CK ;B    ;.    ;.    ;13½S ;4;SAPATILHA MEIA-PONTA;BEGE CK ;49641;0;4;18;789056779396
E-SD11    ;BEGE CK ;B    ;.    ;.    ;1 L  ;4;SAPATILHA MEIA-PONTA;BEGE CK ;108978;0;4;19;789563096970
E-SD11    ;BEGE CK ;B    ;.    ;.    ;1½ L ;7;SAPATILHA MEIA-PONTA;BEGE CK ;108982;0;7;20;789563097740
E-SD11    ;BEGE CK ;B    ;.    ;.    ;2 L  ;5;SAPATILHA MEIA-PONTA;BEGE CK ;49642;0;5;21;789563076202
E-SD11    ;BEGE CK ;B    ;.    ;.    ;2½ L ;2;SAPATILHA MEIA-PONTA;BEGE CK ;49643;0;2;23;789563070062
E-SD11    ;BEGE CK ;B    ;.    ;.    ;3½ L ;3;SAPATILHA MEIA-PONTA;BEGE CK ;49645;0;3;25;789563070064
E-SD11    ;BEGE CK ;B    ;.    ;.    ;4 L  ;6;SAPATILHA MEIA-PONTA;BEGE CK ;49646;0;6;27;789563076203
E-SD11    ;BEGE CK ;B    ;.    ;.    ;4½ L ;7;SAPATILHA MEIA-PONTA;BEGE CK ;49647;0;7;28;789563070065
E-SD11    ;BEGE CK ;B    ;.    ;.    ;5 L  ;9;SAPATILHA MEIA-PONTA;BEGE CK ;49648;0;9;29;789563070066
E-SD11    ;BEGE CK ;B    ;.    ;.    ;5½ L ;10;SAPATILHA MEIA-PONTA;BEGE CK ;49649;0;10;31;789563076204
E-SD11    ;BEGE CK ;B    ;.    ;.    ;6 L  ;4;SAPATILHA MEIA-PONTA;BEGE CK ;49650;0;4;32;789563079090
E-SD11    ;BEGE CK ;B    ;.    ;.    ;6½ L ;13;SAPATILHA MEIA-PONTA;BEGE CK ;49651;0;13;33;789563080017
E-SD11    ;BEGE CK ;B    ;.    ;.    ;7 L  ;4;SAPATILHA MEIA-PONTA;BEGE CK ;49652;0;4;34;789563080535
E-SD11    ;BEGE CK ;B    ;.    ;.    ;7½ L ;15;SAPATILHA MEIA-PONTA;BEGE CK ;49653;0;15;35;789563080536
E-SD11    ;BEGE CK ;B    ;.    ;.    ;8 L  ;2;SAPATILHA MEIA-PONTA;BEGE CK ;49654;0;2;36;789563080537
E-SD11    ;BEGE CK ;B    ;.    ;.    ;8½ L ;1;SAPATILHA MEIA-PONTA;BEGE CK ;49655;0;1;37;789563080538
E-SD11    ;BEGE CK ;B    ;.    ;.    ;9 L  ;5;SAPATILHA MEIA-PONTA;BEGE CK ;49656;0;5;38;789563080539
E-SD11    ;BEGE CK ;B    ;.    ;.    ;10 L ;4;SAPATILHA MEIA-PONTA;BEGE CK ;49637;0;4;40;789563080541
E-SD11    ;BEGE CK ;C    ;.    ;.    ;3 L  ;4;SAPATILHA MEIA-PONTA;BEGE CK ;49670;0;4;24;789563070068
E-SD11    ;BEGE CK ;C    ;.    ;.    ;3½ L ;5;SAPATILHA MEIA-PONTA;BEGE CK ;49671;0;5;25;789563070848
E-SD11    ;BEGE CK ;C    ;.    ;.    ;4 L  ;2;SAPATILHA MEIA-PONTA;BEGE CK ;49672;0;2;27;789563070069
E-SD11    ;BEGE CK ;C    ;.    ;.    ;5 L  ;4;SAPATILHA MEIA-PONTA;BEGE CK ;49674;0;4;29;789563070071
