Referencia;CODCB;TECFORMA;SILKPAL;COSTURA;TAMANHO;FISICO;DESCRI;CORES;CODPRO;TRANSITO;SALDO;POSICAO;CODBARRA
-BL102    ;PRETO   ;M    ;.    ;.    ;.7 L ;10;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239586;0;10;9;789986275659
-BL102    ;PRETO   ;M    ;.    ;.    ;.7½ L;10;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239587;0;10;10;789986275660
-BL102    ;PRETO   ;M    ;.    ;.    ;.8 L ;2;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239588;0;2;11;789986273702
-BL102    ;PRETO   ;M    ;.    ;.    ;.8½ L;8;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239589;0;8;12;789986273703
-BL102    ;PRETO   ;M    ;.    ;.    ;.9 L ;19;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239590;0;19;13;789986273704
-BL102    ;PRETO   ;M    ;.    ;.    ;.9½ L;19;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239591;0;19;14;789986273705
-BL102    ;PRETO   ;M    ;.    ;.    ;.10 L;41;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239575;0;41;15;789986273691
-BL102    ;PRETO   ;M    ;.    ;.    ;.10½L;35;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239576;0;35;16;789986273692
-BL102    ;PRETO   ;M    ;.    ;.    ;.11 L;30;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239577;0;30;17;789986273693
-BL102    ;PRETO   ;M    ;.    ;.    ;.11½L;21;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239578;0;21;18;789986273694
-BL102    ;PRETO   ;M    ;.    ;.    ;.12 L;17;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239579;0;17;19;789986273695
-BL102    ;PRETO   ;M    ;.    ;.    ;.12½L;1;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239580;0;1;20;789986273696
-BL102    ;PRETO   ;M    ;.    ;.    ;.13 L;5;ZAPATO MASCULINO BL, PIEL FENIX, SUELA RASPA;PRETO   ;239581;0;5;21;789986273697
